entity_id,entity_type,name,path,description,url,created_at,updated_at,metadata_json
"project_74557728","project","paxium-access-broker","atlas-datascience/lion/project-lion/paxium-access-broker","","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-access-broker","2025-09-18T21:11:35.283Z","2025-09-18T21:11:35.283Z","{""id"":74557728,""name"":""paxium-access-broker"",""path"":""atlas-datascience/lion/project-lion/paxium-access-broker"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_74338957","project","Edge Connector GeoPDF","atlas-datascience/lion/project-lion/edge-connectors/edge-connector-geopdf","","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector-geopdf","2025-09-10T16:52:23.231Z","2025-09-10T16:52:23.231Z","{""id"":74338957,""name"":""Edge Connector GeoPDF"",""path"":""atlas-datascience/lion/project-lion/edge-connectors/edge-connector-geopdf"",""namespace"":""atlas-datascience/lion/project-lion/edge-connectors"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_74119475","project","paxium-policies","atlas-datascience/lion/project-lion/paxium-policies","","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-policies","2025-09-02T17:13:12.710Z","2025-09-02T17:13:12.710Z","{""id"":74119475,""name"":""paxium-policies"",""path"":""atlas-datascience/lion/project-lion/paxium-policies"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_74013701","project","paxium-web","atlas-datascience/lion/project-lion/paxium-web","","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-web","2025-08-29T12:26:49.456Z","2025-08-29T12:26:49.456Z","{""id"":74013701,""name"":""paxium-web"",""path"":""atlas-datascience/lion/project-lion/paxium-web"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_74013678","project","paxium-sdk-typescript","atlas-datascience/lion/project-lion/paxium-sdk-typescript","","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-sdk-typescript","2025-08-29T12:26:07.091Z","2025-08-29T12:26:07.091Z","{""id"":74013678,""name"":""paxium-sdk-typescript"",""path"":""atlas-datascience/lion/project-lion/paxium-sdk-typescript"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_74013664","project","paxium-api","atlas-datascience/lion/project-lion/paxium-api","","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-api","2025-08-29T12:25:42.332Z","2025-08-29T12:25:42.332Z","{""id"":74013664,""name"":""paxium-api"",""path"":""atlas-datascience/lion/project-lion/paxium-api"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_73962713","project","opa","atlas-datascience/lion/cicd/containers/opa","","https://gitlab.com/atlas-datascience/lion/cicd/containers/opa","2025-08-28T17:59:46.923Z","2025-08-28T17:59:46.923Z","{""id"":73962713,""name"":""opa"",""path"":""atlas-datascience/lion/cicd/containers/opa"",""namespace"":""atlas-datascience/lion/cicd/containers"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71833323","project","sts-cross-account ","atlas-datascience/lion/infrastructure/sts-cross-account","","https://gitlab.com/atlas-datascience/lion/infrastructure/sts-cross-account","2025-07-22T13:38:17.949Z","2025-07-22T13:38:17.949Z","{""id"":71833323,""name"":""sts-cross-account "",""path"":""atlas-datascience/lion/infrastructure/sts-cross-account"",""namespace"":""atlas-datascience/lion/infrastructure"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71561356","project","open-metadata-client","atlas-datascience/lion/project-lion/data-ingestion-enrichment/open-metadata-client","This function is intended to take the enriched record created and write it to Open Metadata.","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/open-metadata-client","2025-07-11T17:38:56.780Z","2025-07-11T17:38:56.780Z","{""id"":71561356,""name"":""open-metadata-client"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/open-metadata-client"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71561102","project","geo-political-determination","atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination","This function utilizes a geometric shape, if present on ingestion, as a query parameter against a known geo political boundary service.  The result of this query should provided an ordered list of country codes, states, etc that the geometric shape overlaps.  This information enables data discoverability by country and state as a textual search vs a geospatial (mathematical) one.","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination","2025-07-11T17:24:42.218Z","2025-07-11T17:24:42.218Z","{""id"":71561102,""name"":""geo-political-determination"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71561062","project","geo-coordinate-normalization","atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning","Transformation of geometric coordinates to a known global standard coordinate system and datum (WGS84/EGM96).  Coordinates captured through the extraction process for geometric shapes may be tied to any coordinate reference system (CRS).  This function transforms the shape to a common standard prior to record creation.  Doing this on ingestion mitigates the need to transform every geometry on the fly in support of geospatial operations performed during filtering.","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning","2025-07-11T17:22:26.046Z","2025-07-11T17:22:26.046Z","{""id"":71561062,""name"":""geo-coordinate-normalization"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/coordinate-conditioning"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71561032","project","labeling","atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/labeling","This function applies labels to the entity record as applicable to Open Policy Agent (OPA) rules defined for the entity within Open Meta Data.","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/labeling","2025-07-11T17:21:16.304Z","2025-07-11T17:21:16.304Z","{""id"":71561032,""name"":""labeling"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/labeling"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71561026","project","infrastructure","atlas-datascience/lion/project-lion/data-ingestion-enrichment/infrastructure","This project contains the Infrastructure As Code (IaC) required to deliver the data ingestion and enrichment capabilities.","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/infrastructure","2025-07-11T17:20:50.185Z","2025-07-11T17:20:50.185Z","{""id"":71561026,""name"":""infrastructure"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/infrastructure"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71561008","project","kinesis-receiver","atlas-datascience/lion/project-lion/data-ingestion-enrichment/kinesis-receiver","This function takes kinesis events and feeds them into a workflow engine so as to be processed by the enrichment functions.","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/kinesis-receiver","2025-07-11T17:19:54.425Z","2025-07-11T17:19:54.425Z","{""id"":71561008,""name"":""kinesis-receiver"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/kinesis-receiver"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71529570","project","environment networks","atlas-datascience/lion/infrastructure/aws/environment-networks","","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/environment-networks","2025-07-10T15:15:01.827Z","2025-07-10T15:15:01.827Z","{""id"":71529570,""name"":""environment networks"",""path"":""atlas-datascience/lion/infrastructure/aws/environment-networks"",""namespace"":""atlas-datascience/lion/infrastructure/aws"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71529533","project","master network","atlas-datascience/lion/infrastructure/aws/master-network","","https://gitlab.com/atlas-datascience/lion/infrastructure/aws/master-network","2025-07-10T15:14:00.940Z","2025-07-10T15:14:00.940Z","{""id"":71529533,""name"":""master network"",""path"":""atlas-datascience/lion/infrastructure/aws/master-network"",""namespace"":""atlas-datascience/lion/infrastructure/aws"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71509248","project","product-backlog","atlas-datascience/lion/devops","","https://gitlab.com/atlas-datascience/lion/devops","2025-07-10T01:07:13.439Z","2025-07-10T01:07:13.439Z","{""id"":71509248,""name"":""product-backlog"",""path"":""atlas-datascience/lion/devops"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"wiki_71509248_Lion-Software-Development","wiki_page","Lion Software Development","atlas-datascience/lion/devops/wiki/Lion-Software-Development","Wiki page in product-backlog","https://gitlab.com/atlas-datascience/lion/devops/-/wikis/Lion-Software-Development","2025-07-10T01:07:13.439Z","2025-07-10T01:07:13.439Z","{
  ""project_id"": ""71509248"",
  ""project_path"": ""atlas-datascience/lion/devops"",
  ""slug"": ""Lion-Software-Development"",
  ""format"": ""markdown""
}"
"project_71311398","project","renovate-runner","atlas-datascience/lion/renovate-runner","","https://gitlab.com/atlas-datascience/lion/renovate-runner","2025-07-02T14:43:42.135Z","2025-07-02T14:43:42.135Z","{""id"":71311398,""name"":""renovate-runner"",""path"":""atlas-datascience/lion/renovate-runner"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71249866","project","lion - Security policy project","atlas-datascience/lion/lion-security-policy-project","This project is automatically generated to manage security policies for the project.","https://gitlab.com/atlas-datascience/lion/lion-security-policy-project","2025-06-30T16:58:40.397Z","2025-06-30T16:58:40.397Z","{""id"":71249866,""name"":""lion - Security policy project"",""path"":""atlas-datascience/lion/lion-security-policy-project"",""namespace"":""atlas-datascience/lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71164198","project","schemas","atlas-datascience/lion/project-lion/schemas","","https://gitlab.com/atlas-datascience/lion/project-lion/schemas","2025-06-26T19:29:28.185Z","2025-06-26T19:29:28.185Z","{""id"":71164198,""name"":""schemas"",""path"":""atlas-datascience/lion/project-lion/schemas"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
"project_71131328","project","security","atlas-datascience/lion/cicd/catalog/security","","https://gitlab.com/atlas-datascience/lion/cicd/catalog/security","2025-06-25T17:55:44.286Z","2025-06-25T17:55:44.286Z","{""id"":71131328,""name"":""security"",""path"":""atlas-datascience/lion/cicd/catalog/security"",""namespace"":""atlas-datascience/lion/cicd/catalog"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}"
