entity_type,entity_id,entity_name,entity_path,content,full_text,metadata_json,source_url,created_at,updated_at,author,tags,relationships
"project","project_74557728","paxium-access-broker","atlas-datascience/lion/project-lion/paxium-access-broker","","Project: paxium-access-broker\nPath: atlas-datascience/lion/project-lion/paxium-access-broker\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/project-lion/paxium-access-broker","{""id"":74557728,""name"":""paxium-access-broker"",""path"":""atlas-datascience/lion/project-lion/paxium-access-broker"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-access-broker","2025-09-18T21:11:35.283Z","2025-09-18T21:11:35.283Z","","project,gitlab,project-lion/paxium-access-broker",""
"project","project_74338957","Edge Connector GeoPDF","atlas-datascience/lion/project-lion/edge-connectors/edge-connector-geopdf","","Project: Edge Connector GeoPDF\nPath: atlas-datascience/lion/project-lion/edge-connectors/edge-connector-geopdf\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector-geopdf","{""id"":74338957,""name"":""Edge Connector GeoPDF"",""path"":""atlas-datascience/lion/project-lion/edge-connectors/edge-connector-geopdf"",""namespace"":""atlas-datascience/lion/project-lion/edge-connectors"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector-geopdf","2025-09-10T16:52:23.231Z","2025-09-10T16:52:23.231Z","","project,gitlab,project-lion/edge-connectors/edge-connector-geopdf",""
"project","project_74119475","paxium-policies","atlas-datascience/lion/project-lion/paxium-policies","","Project: paxium-policies\nPath: atlas-datascience/lion/project-lion/paxium-policies\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/project-lion/paxium-policies","{""id"":74119475,""name"":""paxium-policies"",""path"":""atlas-datascience/lion/project-lion/paxium-policies"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-policies","2025-09-02T17:13:12.710Z","2025-09-02T17:13:12.710Z","","project,gitlab,project-lion/paxium-policies",""
"project","project_74013701","paxium-web","atlas-datascience/lion/project-lion/paxium-web","","Project: paxium-web\nPath: atlas-datascience/lion/project-lion/paxium-web\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/project-lion/paxium-web","{""id"":74013701,""name"":""paxium-web"",""path"":""atlas-datascience/lion/project-lion/paxium-web"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-web","2025-08-29T12:26:49.456Z","2025-08-29T12:26:49.456Z","","project,gitlab,project-lion/paxium-web",""
"project","project_74013678","paxium-sdk-typescript","atlas-datascience/lion/project-lion/paxium-sdk-typescript","","Project: paxium-sdk-typescript\nPath: atlas-datascience/lion/project-lion/paxium-sdk-typescript\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/project-lion/paxium-sdk-typescript","{""id"":74013678,""name"":""paxium-sdk-typescript"",""path"":""atlas-datascience/lion/project-lion/paxium-sdk-typescript"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-sdk-typescript","2025-08-29T12:26:07.091Z","2025-08-29T12:26:07.091Z","","project,gitlab,project-lion/paxium-sdk-typescript",""
"project","project_74013664","paxium-api","atlas-datascience/lion/project-lion/paxium-api","","Project: paxium-api\nPath: atlas-datascience/lion/project-lion/paxium-api\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/project-lion/paxium-api","{""id"":74013664,""name"":""paxium-api"",""path"":""atlas-datascience/lion/project-lion/paxium-api"",""namespace"":""atlas-datascience/lion/project-lion"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/paxium-api","2025-08-29T12:25:42.332Z","2025-08-29T12:25:42.332Z","","project,gitlab,project-lion/paxium-api",""
"project","project_73962713","opa","atlas-datascience/lion/cicd/containers/opa","","Project: opa\nPath: atlas-datascience/lion/cicd/containers/opa\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/cicd/containers/opa","{""id"":73962713,""name"":""opa"",""path"":""atlas-datascience/lion/cicd/containers/opa"",""namespace"":""atlas-datascience/lion/cicd/containers"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/cicd/containers/opa","2025-08-28T17:59:46.923Z","2025-08-28T17:59:46.923Z","","project,gitlab,cicd/containers/opa",""
"project","project_71833323","sts-cross-account ","atlas-datascience/lion/infrastructure/sts-cross-account","","Project: sts-cross-account \nPath: atlas-datascience/lion/infrastructure/sts-cross-account\nDescription: \nURL: https://gitlab.com/atlas-datascience/lion/infrastructure/sts-cross-account","{""id"":71833323,""name"":""sts-cross-account "",""path"":""atlas-datascience/lion/infrastructure/sts-cross-account"",""namespace"":""atlas-datascience/lion/infrastructure"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/infrastructure/sts-cross-account","2025-07-22T13:38:17.949Z","2025-07-22T13:38:17.949Z","","project,gitlab,infrastructure/sts-cross-account",""
"project","project_71561356","open-metadata-client","atlas-datascience/lion/project-lion/data-ingestion-enrichment/open-metadata-client","This function is intended to take the enriched record created and write it to Open Metadata.","Project: open-metadata-client\nPath: atlas-datascience/lion/project-lion/data-ingestion-enrichment/open-metadata-client\nDescription: This function is intended to take the enriched record created and write it to Open Metadata.\nURL: https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/open-metadata-client","{""id"":71561356,""name"":""open-metadata-client"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/open-metadata-client"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/open-metadata-client","2025-07-11T17:38:56.780Z","2025-07-11T17:38:56.780Z","","project,gitlab,project-lion/data-ingestion-enrichment/open-metadata-client",""
"project","project_71561102","geo-political-determination","atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination","This function utilizes a geometric shape, if present on ingestion, as a query parameter against a known geo political boundary service.  The result of this query should provided an ordered list of country codes, states, etc that the geometric shape overlaps.  This information enables data discoverability by country and state as a textual search vs a geospatial (mathematical) one.","Project: geo-political-determination\nPath: atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination\nDescription: This function utilizes a geometric shape, if present on ingestion, as a query parameter against a known geo political boundary service.  The result of this query should provided an ordered list of country codes, states, etc that the geometric shape overlaps.  This information enables data discoverability by country and state as a textual search vs a geospatial (mathematical) one.\nURL: https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination","{""id"":71561102,""name"":""geo-political-determination"",""path"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination"",""namespace"":""atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions"",""visibility"":""private"",""default_branch"":""main"",""star_count"":0,""forks_count"":0}","https://gitlab.com/atlas-datascience/lion/project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination","2025-07-11T17:24:42.218Z","2025-07-11T17:24:42.218Z","","project,gitlab,project-lion/data-ingestion-enrichment/enrichment-functions/geo-political-determination",""
