Project,project_id,issue_iid,issue_id,title,state,author,assignees,labels,milestone,created_at,updated_at,due_date,weight,confidential,web_url
"atlas-datascience/lion/local-environment","70509031","1","168642646","Setup local development repository","closed","szahniy","szahniy","","","2025-06-09T13:48:40.936Z","2025-07-16T20:55:46.811Z","","","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/1"
"atlas-datascience/lion/example-datasets","70542589","1","168642677","Setup Example Datasets","closed","szahniy","szahniy","","","2025-06-09T13:49:34.438Z","2025-06-17T13:27:00.979Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/1"
"atlas-datascience/lion/example-datasets","70542589","2","168643811","Create S3 GeoTIFF Connector (Proof of Concept)","closed","szahniy","rcross3","","","2025-06-09T14:11:25.656Z","2025-06-18T19:39:22.202Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/2"
"atlas-datascience/lion/example-datasets","70542589","3","168644623","Create Geospatial PDF Connector","closed","szahniy","","","","2025-06-09T14:23:04.451Z","2025-07-08T19:41:31.879Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/3"
"atlas-datascience/lion/example-datasets","70542589","4","168644670","Create Standard TIFF Connector","closed","szahniy","szahniy","","","2025-06-09T14:24:16.908Z","2025-06-17T13:26:54.799Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/4"
"atlas-datascience/lion/example-datasets","70542589","5","168644784","OpenMetadata Schema Extension for Geospatial Data","closed","szahniy","rprice314","","","2025-06-09T14:26:42.372Z","2025-08-11T16:03:48.631Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/5"
"atlas-datascience/lion/example-datasets","70542589","6","168645425","Geospatial Connectors to docker-compose","closed","szahniy","szahniy","","","2025-06-09T14:42:11.613Z","2025-06-17T13:27:06.730Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/6"
"atlas-datascience/lion/local-environment","70509031","2","169052447","Create new Repository for EDGE Connector","closed","szahniy","alain.atemnkeng","","","2025-06-17T18:23:12.443Z","2025-06-26T18:12:28.154Z","","","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/2"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","1","169054766","Create base Lambda Function skeleton","closed","rcross3","rcross3|szahniy","aspect::edge-connector","","2025-06-17T19:38:20.979Z","2025-09-19T14:52:21.094Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/1"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","2","169054791","S3 Metadata Extractor","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-17T19:39:20.841Z","2025-09-19T14:52:21.934Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/2"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","3","169054839","Raw Geospatial Metadata Extractor","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-17T19:41:24.821Z","2025-09-19T14:52:22.214Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/3"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","4","169054876","File Type (MIME/EXIF) extractor","closed","rcross3","","Backlog|aspect::edge-connector","","2025-06-17T19:43:05.092Z","2025-09-19T14:52:22.634Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/4"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","5","169055251","Generate Idempotency Keys for Edge Connector output","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-17T19:58:16.965Z","2025-09-19T14:52:22.921Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/5"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","6","169055330","Exponential back-off and retry mechanism","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-17T20:02:35.364Z","2025-09-19T14:52:23.236Z","","5","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/6"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","8","169055411","JWT Auth","opened","rcross3","","Backlog|Parking Lot|aspect::edge-connector","","2025-06-17T20:04:56.289Z","2025-09-19T14:51:55.270Z","","3","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/8"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","9","169055421","JSON Encryption","opened","rcross3","","Backlog|Parking Lot|aspect::edge-connector","","2025-06-17T20:05:35.895Z","2025-09-19T14:51:50.344Z","","2","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/9"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","10","169055431","Create Mock Ingestion Gateway","closed","rcross3","","aspect::edge-connector","","2025-06-17T20:06:16.814Z","2025-09-19T14:52:23.504Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/10"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","11","169090050","Edge Connector Basic Metrics","closed","rcross3","","Closed|aspect::edge-connector","","2025-06-18T13:51:51.755Z","2025-09-19T14:52:23.781Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/11"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","12","169090234","CI-CD: Quality Checks","closed","rcross3","alain.atemnkeng","aspect::platform","","2025-06-18T13:56:28.407Z","2025-09-22T14:04:25.393Z","","3","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/12"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","17","169091527","Define Edge Connector Event JSON Schema v.01","closed","rcross3","rprice314","aspect::edge-connector","","2025-06-18T14:20:10.212Z","2025-09-19T14:52:24.056Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/17"
