Project,project_id,issue_iid,issue_id,title,state,author,assignees,labels,milestone,created_at,updated_at,due_date,weight,confidential,web_url,full_text
"atlas-datascience/lion/local-environment","70509031","1","168642646","Setup local development repository","closed","szahniy","szahniy","","","2025-06-09T13:48:40.936Z","2025-07-16T20:55:46.811Z","","","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/1","ISSUE TITLE: Setup local development repository STATE: closed AUTHOR: szahniy CREATED: 2025-06-09T13:48:40.936Z LABELS:  ASSIGNEES: szahniy DESCRIPTION: No description COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","1","168642677","Setup Example Datasets","closed","szahniy","szahniy","","","2025-06-09T13:49:34.438Z","2025-06-17T13:27:00.979Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/1","ISSUE TITLE: Setup Example Datasets STATE: closed AUTHOR: szahniy CREATED: 2025-06-09T13:49:34.438Z LABELS:  ASSIGNEES: szahniy DESCRIPTION: No description COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","2","168643811","Create S3 GeoTIFF Connector (Proof of Concept)","closed","szahniy","rcross3","","","2025-06-09T14:11:25.656Z","2025-06-18T19:39:22.202Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/2","ISSUE TITLE: Create S3 GeoTIFF Connector (Proof of Concept) STATE: closed AUTHOR: szahniy CREATED: 2025-06-09T14:11:25.656Z LABELS:  ASSIGNEES: rcross3 DESCRIPTION: Develop a connector that can read GeoTIFF files from S3 buckets (example-datasets-geo-tif folder) and extract both standard metadata and geospatial information including coordinate reference systems, bounding boxes, and other properties.  Use https://github.com/msgis/openmetadata-spatial-connector to understand implementation.  The current extraction method is implemented in https://gitlab.com/ftsg/lion/core/data-in/extract-transform-load/inventory-enhancement/extraction and can be used as an example  Acceptance Criteria:  - Connector can read .tif files from the example-datasets-geo-tif directory - Extract geospatial metadata (CRS, bounds, resolution) - Parse associated .xml metadata files - Create OpenMetadata entities with spatial properties - Store extracted metadata in PostgreSQL with PostGIS fields COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","3","168644623","Create Geospatial PDF Connector","closed","szahniy","","","","2025-06-09T14:23:04.451Z","2025-07-08T19:41:31.879Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/3","ISSUE TITLE: Create Geospatial PDF Connector STATE: closed AUTHOR: szahniy CREATED: 2025-06-09T14:23:04.451Z LABELS:  ASSIGNEES:  DESCRIPTION: Develop a connector that can process georeferenced PDF files and extract spatial metadata. This connector should handle PDF files with embedded geospatial information and associated XML metadata.  Use https://github.com/msgis/openmetadata-spatial-connector to understand implementation  The current extraction method is implemented in https://gitlab.com/ftsg/lion/core/data-in/extract-transform-load/inventory-enhancement/extraction and can be used as an example  Acceptance Criteria:  - Connector can process .pdf files from example-datasets-geo-pdf directory - Extract geospatial information from georeferenced PDFs - Parse associated XML metadata files - Handle coordinate transformations if needed - Create appropriate OpenMetadata entities COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","4","168644670","Create Standard TIFF Connector","closed","szahniy","szahniy","","","2025-06-09T14:24:16.908Z","2025-06-17T13:26:54.799Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/4","ISSUE TITLE: Create Standard TIFF Connector STATE: closed AUTHOR: szahniy CREATED: 2025-06-09T14:24:16.908Z LABELS:  ASSIGNEES: szahniy DESCRIPTION: Develop a connector for standard TIFF images that may contain geospatial metadata in EXIF or other embedded formats.  Use https://github.com/msgis/openmetadata-spatial-connector to understand implementation  The current extraction method is implemented in https://gitlab.com/ftsg/lion/core/data-in/extract-transform-load/inventory-enhancement/extraction and can be used as an example  Acceptance Criteria:  - Process .tiff files from example-datasets-tif directory - Extract EXIF and embedded metadata - Parse associated XML files - Identify any spatial components in standard TIFF files - Create OpenMetadata entities COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","5","168644784","OpenMetadata Schema Extension for Geospatial Data","closed","szahniy","rprice314","","","2025-06-09T14:26:42.372Z","2025-08-11T16:03:48.631Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/5","ISSUE TITLE: OpenMetadata Schema Extension for Geospatial Data STATE: closed AUTHOR: szahniy CREATED: 2025-06-09T14:26:42.372Z LABELS:  ASSIGNEES: rprice314 DESCRIPTION: Extend OpenMetadata data model to properly represent geospatial datasets including spatial properties, coordinate reference systems, and bounding boxes.   OpenMetadata Database Schema will be influenced by #2 #3 #4 issues  Acceptance Criteria:  - Define spatial entity types in OpenMetadata - Add fields for bounding boxes, spatial resolution and other missing properties - Ensure compatibility with PostGIS - Create migration scripts for schema updates and apply them to local dev stack - Document the extended data model COMMENTS: None"
"atlas-datascience/lion/example-datasets","70542589","6","168645425","Geospatial Connectors to docker-compose","closed","szahniy","szahniy","","","2025-06-09T14:42:11.613Z","2025-06-17T13:27:06.730Z","","","false","https://gitlab.com/atlas-datascience/lion/example-datasets/-/issues/6","ISSUE TITLE: Geospatial Connectors to docker-compose STATE: closed AUTHOR: szahniy CREATED: 2025-06-09T14:42:11.613Z LABELS:  ASSIGNEES: szahniy DESCRIPTION: Update the existing docker-compose.yml and local development scripts to include the new geospatial connectors and ensure they can be easily run and tested.  Acceptance Criteria:  - Update docker-compose.yml to include connector services - Add environment variables for connector configuration - Create scripts to run sample ingestion processes - Update documentation in local-environment README - Ensure example datasets are properly mounted/accessible COMMENTS: None"
"atlas-datascience/lion/local-environment","70509031","2","169052447","Create new Repository for EDGE Connector","closed","szahniy","alain.atemnkeng","","","2025-06-17T18:23:12.443Z","2025-06-26T18:12:28.154Z","","","false","https://gitlab.com/atlas-datascience/lion/local-environment/-/issues/2","ISSUE TITLE: Create new Repository for EDGE Connector STATE: closed AUTHOR: szahniy CREATED: 2025-06-17T18:23:12.443Z LABELS:  ASSIGNEES: alain.atemnkeng DESCRIPTION: No description COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","1","169054766","Create base Lambda Function skeleton","closed","rcross3","rcross3|szahniy","aspect::edge-connector","","2025-06-17T19:38:20.979Z","2025-09-19T14:52:21.094Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/1","ISSUE TITLE: Create base Lambda Function skeleton STATE: closed AUTHOR: rcross3 CREATED: 2025-06-17T19:38:20.979Z LABELS: aspect::edge-connector ASSIGNEES: rcross3, szahniy DESCRIPTION: Create the initial codebase for the Node 22 + TypeScript Edge-Connector Lambda, including  configuring local deployment to LocalStack with our [Local Development Repo](https://gitlab.com/ftsg/lion/local-environment).  **Acceptance Criteria** - Repo skeleton: `src/`, `test/`, `scripts/`, `docs/`. - `README.md` with prerequisites and instruction to run locally. - Connect Git pre-hooks with [Husky](https://typicode.github.io/husky/get-started.html).   - ESLint   - Prettier - Jest for Unit test   - Create placeholder test thats passes. - `npm run build` produces minified bundle with esbuild. - `npm run deploy:local` deploy resources to LocalStack deployed from [Local Development Repo](https://gitlab.com/ftsg/lion/local-environment). COMMENTS: None"
"atlas-datascience/lion/project-lion/edge-connectors/edge-connector","70663067","2","169054791","S3 Metadata Extractor","closed","rcross3","rcross3","aspect::edge-connector","","2025-06-17T19:39:20.841Z","2025-09-19T14:52:21.934Z","","","false","https://gitlab.com/atlas-datascience/lion/project-lion/edge-connectors/edge-connector/-/issues/2","ISSUE TITLE: S3 Metadata Extractor STATE: closed AUTHOR: rcross3 CREATED: 2025-06-17T19:39:20.841Z LABELS: aspect::edge-connector ASSIGNEES: rcross3 DESCRIPTION: The edge connector should have an extraction phase that retrieves all S3 related metadata.  You can find details on the S3 metadata model here. https://docs.aws.amazon.com/AmazonS3/latest/userguide/UsingMetadata.html  Extractors should be pluggable and chainable. Meaning, they can be dropped in and out of an extraction chain with ease.  Create an extractor that implements the following methods to perform the task of extracting all relevant s3 metadata. Tags, aws-metadata-x, triggering system event ``` interface Extractor<T,V> {     initialize(): Promise<void>;     extract(event: T, out: V): <T,V>     can_extract: (event: T) => boolean; } ```  **Success Criteria**  The extractor should be able to extract all relevant metadata to our schema provided by a s3 notifications event. https://docs.aws.amazon.com/AmazonS3/latest/userguide/EventNotifications.html COMMENTS: None"
